time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
524.619,88.7613,1.43505,0,9.5681,0.107776,-1.8274,-0.121951,0.0609756,-1.67683,-9.91538,-0.450264,0.258662,-15.5793,-4.17683,6.12805
524.628,88.7607,1.42777,0,9.57289,0.107776,-1.89207,0.0304878,-0.182927,-1.7378,-9.88904,-0.464634,0.217947,-15,-2.5,5.06098
524.638,88.7598,1.41738,0,9.58008,0.117356,-1.80345,-0.0304878,-0.243902,-1.64634,-9.89143,-0.500559,0.203577,-14.8171,-2.7439,5.30488
524.649,88.7527,1.42486,0,9.55613,0.141306,-1.79387,0.0304878,-0.365854,-1.82927,-9.91778,-0.507744,0.273032,-14.9085,-3.07927,4.81707
524.659,88.7528,1.43352,0,9.58008,0.114961,-1.87291,0.0304878,-0.121951,-1.61585,-9.95849,-0.507744,0.280217,-15.4573,-2.9878,4.90854
524.668,88.7546,1.44857,0,9.57768,0.126936,-1.80345,0,-0.213415,-1.37195,-9.92257,-0.469424,0.308958,-16.6159,-5.57927,5.18293
524.679,88.7588,1.45259,0,9.56092,0.110171,-1.86572,-0.121951,-0.701219,-1.40244,-9.92496,-0.435894,0.263452,-16.7988,-5.88415,4.11585
524.688,88.7609,1.45873,0,9.55613,0.122146,-1.79626,-0.304878,-0.945122,-1.40244,-9.89622,-0.464634,0.273032,-16.128,-5.15244,4.81707
524.699,88.7642,1.46444,0,9.54894,0.119751,-1.88009,-0.243902,-1.0061,-1.34146,-9.93694,-0.495769,0.273032,-16.3415,-5.73171,4.78659
524.709,88.7681,1.46017,0,9.57289,0.110171,-1.88009,-0.213415,-0.914634,-1.40244,-9.9082,-0.543669,0.229922,-16.0671,-5.64024,5.03049
524.719,88.7601,1.4468,0,9.51781,0.160466,-1.83698,-0.0304878,-1.31098,-1.61585,-9.90341,-0.546064,0.189207,-16.25,-5.97561,3.68902
524.728,88.7618,1.45591,0,9.6184,0.122146,-1.88009,-0.365854,-0.304878,-1.40244,-9.91778,-0.56762,0.285007,-15.6707,-6.03659,5.03049
524.738,88.7664,1.47809,0,9.64474,0.107776,-1.93757,-0.335366,-0.487805,-1.37195,-9.91059,-0.519719,0.342488,-14.6951,-7.28659,5.12195
