time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
736.189,14.2366,-5.76977,0,0.282612,9.28549,-2.85486,17.8659,39.0244,-41.4939,-43.3834,-9.02922,1.54718,-31.25,55.3963,12.8659
736.199,13.3338,-5.37651,0,-1.41067,9.79323,-1.60466,14.7866,47.0427,-46.3415,-42.3583,-7.06531,3.23328,-26.2805,41.2195,19.2073
736.209,12.3219,-4.9381,0,-2.14354,10.0351,-0.905317,7.92683,35.7622,-51.4329,-42.5595,-4.32541,4.32541,-29.6951,21.9512,18.9634
736.219,11.2204,-4.44304,0,-2.48124,9.5705,-0.62031,-0.884146,13.9634,-57.5915,-42.32,-1.51844,5.61872,-38.872,-0.121951,8.62805
736.229,10.0861,-4.01738,0,-2.48124,9.11305,-0.62989,-9.63415,-9.81707,-61.7683,-38.009,-0.962798,4.14338,-55.6707,-17.1037,4.05488
736.239,8.97622,-3.35059,0,-2.4046,8.943,-0.814307,-17.6829,-36.0061,-61.9512,-44.9833,2.92671,10.0543,-74.2683,-44.7561,-4.2378
736.249,7.94953,-2.78701,0,-2.17947,8.85678,-1.18314,-24.2378,-63.5976,-58.2317,-40.883,2.09325,7.66885,-101.524,-51.9512,-13.2622
736.259,7.07437,-2.29653,0,-1.56634,8.71548,-1.92081,-27.0427,-84.2073,-52.2866,-39.5226,3.2716,6.47134,-127.652,-60.5793,-19.1463
736.269,6.38486,-1.87374,0,-0.66342,8.60291,-2.86684,-25.2439,-91.9512,-46.9207,-38.8328,3.4632,5.50376,-150,-63.3232,-22.1646
736.279,5.9513,-1.58396,0,0.749641,8.40173,-3.82964,-19.4817,-84.5427,-41.6159,-38.0952,2.88839,3.42488,-164.39,-61.9512,-22.7744
736.289,5.52692,-1.37124,0,0.754431,8.85439,-4.52659,-11.189,-67.3781,-41.0976,-37.9898,1.346,2.31359,-174.695,-61.1585,-23.5976
736.299,5.19382,-1.23885,0,1.29092,9.07233,-4.57209,-6.28049,-44.6341,-39.2378,-37.9132,-0.320933,1.1065,-183.933,-60.6707,-25.1524
736.309,4.87933,-1.15819,0,1.41067,9.06515,-4.48108,-2.34756,-26.2805,-39.5427,-37.9419,-2.94587,0.340093,-186.463,-57.439,-27.5915
736.319,4.63113,-1.11703,0,2.0693,9.29747,-3.83203,-4.20732,-7.40854,-40.9756,-38.2389,-5.54208,-0.263452,-184.055,-55.7927,-33.5671
736.329,4.38648,-1.12942,0,2.17947,9.09389,-3.16382,-5.15244,8.32317,-43.0183,-38.3059,-7.95625,-1.13524,-180.03,-54.0549,-42.0122
736.339,4.17712,-1.13202,0,2.53633,8.943,-2.6944,-4.69512,22.561,-44.7256,-38.2868,-9.69025,-0.972378,-171.524,-52.5,-50.9756
736.349,4.01109,-1.12781,0,2.95785,8.8975,-2.30401,-3.14024,32.5305,-45.9451,-38.3538,-10.7153,-0.866997,-164.329,-54.3902,-60.1524
736.359,3.84945,-1.13938,0,3.08,8.84241,-2.18426,-0.731707,39.1768,-47.5,-38.0952,-11.8649,-1.12566,-157.409,-55.0305,-69.7256
736.369,3.66543,-1.14797,0,2.8836,8.7514,-2.2609,2.10366,44.5732,-48.1402,-37.8653,-11.8074,-1.07776,-151.829,-55.3963,-72.1341
736.379,3.45168,-1.15585,0,2.53154,8.7514,-2.10522,5.03049,48.0793,-47.2561,-37.9706,-11.0219,-1.07776,-147.805,-56.3415,-69.4207
736.389,3.21668,-1.19291,0,2.22976,8.96935,-1.99505,8.01829,48.7195,-45.4268,-37.9706,-10.2842,-1.57592,-143.72,-57.5915,-68.0183
736.399,2.97298,-1.20395,0,2.00942,9.24717,-2.01661,9.72561,47.8963,-43.3232,-38.1622,-9.32621,-1.19272,-142.774,-64.3293,-59.7866
736.409,2.70932,-1.24451,0,1.70046,9.38369,-1.97829,8.81098,45.8232,-41.7988,-38.2485,-7.96584,-1.71962,-140.915,-69.9085,-53.1402
736.419,2.41351,-1.29424,0,1.17116,9.36213,-1.88728,7.56098,42.561,-39.2073,-37.9706,-6.66294,-1.89207,-139.878,-71.189,-44.7866
736.429,2.13018,-1.37811,0,1.0562,9.30944,-1.85614,7.10366,39.7256,-37.1951,-37.5204,-5.35047,-2.46687,-139.573,-70.5793,-37.8354
